Websuche-Interesse: facebook
Weltweit; Jan. 2006 - Jan. 2007

Interesse im Laufe der Zeit
Woche,facebook
2006-01-01 - 2006-01-07,23
2006-01-08 - 2006-01-14,23
2006-01-15 - 2006-01-21,25
2006-01-22 - 2006-01-28,25
2006-01-29 - 2006-02-04,27
2006-02-05 - 2006-02-11,29
2006-02-12 - 2006-02-18,26
2006-02-19 - 2006-02-25,25
2006-02-26 - 2006-03-04,29
2006-03-05 - 2006-03-11,28
2006-03-12 - 2006-03-18,27
2006-03-19 - 2006-03-25,27
2006-03-26 - 2006-04-01,47
2006-04-02 - 2006-04-08,32
2006-04-09 - 2006-04-15,31
2006-04-16 - 2006-04-22,30
2006-04-23 - 2006-04-29,31
2006-04-30 - 2006-05-06,31
2006-05-07 - 2006-05-13,29
2006-05-14 - 2006-05-20,30
2006-05-21 - 2006-05-27,29
2006-05-28 - 2006-06-03,32
2006-06-04 - 2006-06-10,30
2006-06-11 - 2006-06-17,32
2006-06-18 - 2006-06-24,32
2006-06-25 - 2006-07-01,35
2006-07-02 - 2006-07-08,33
2006-07-09 - 2006-07-15,39
2006-07-16 - 2006-07-22,40
2006-07-23 - 2006-07-29,41
2006-07-30 - 2006-08-05,41
2006-08-06 - 2006-08-12,42
2006-08-13 - 2006-08-19,44
2006-08-20 - 2006-08-26,47
2006-08-27 - 2006-09-02,47
2006-09-03 - 2006-09-09,56
2006-09-10 - 2006-09-16,51
2006-09-17 - 2006-09-23,52
2006-09-24 - 2006-09-30,56
2006-10-01 - 2006-10-07,54
2006-10-08 - 2006-10-14,59
2006-10-15 - 2006-10-21,59
2006-10-22 - 2006-10-28,60
2006-10-29 - 2006-11-04,68
2006-11-05 - 2006-11-11,66
2006-11-12 - 2006-11-18,65
2006-11-19 - 2006-11-25,65
2006-11-26 - 2006-12-02,71
2006-12-03 - 2006-12-09,73
2006-12-10 - 2006-12-16,76
2006-12-17 - 2006-12-23,87
2006-12-24 - 2006-12-30,87
2006-12-31 - 2007-01-06,88
2007-01-07 - 2007-01-13,84
2007-01-14 - 2007-01-20,84
2007-01-21 - 2007-01-27,96
2007-01-28 - 2007-02-03,100


Top-Regionen für: facebook
Region,facebook
Vereinigte Staaten,100
Kanada,70
Vereinigtes Königreich,46
Australien,4
Indien,3
Frankreich,2
Deutschland,2
Türkei,2
Italien,2
Spanien,1
China,1
Japan,1


Top-Städte für: facebook
Stadt,facebook
Jackson (Vereinigte Staaten),100
Kansas City (Vereinigte Staaten),90
Mississauga (Kanada),89
St. Louis (Vereinigte Staaten),85
London (Kanada),77
Madison (Vereinigte Staaten),72
Kansas City (Vereinigte Staaten),67
Toronto (Kanada),65
Louisville (Vereinigte Staaten),60
Indianapolis (Vereinigte Staaten),56
Milwaukee (Vereinigte Staaten),55
Oklahoma Stadt (Vereinigte Staaten),55
Raleigh (Vereinigte Staaten),53
Boston (Vereinigte Staaten),51
Elmhurst (Vereinigte Staaten),51



Häufigste Suchanfragen für facebook
the facebook,100
my facebook,45
college facebook,25
xanga,15
high school facebook,15
facebook.com,10
face book,10
facebook login,10
livejournal,10
facebook me,5
facebook blog,5
search facebook,5
facebook song,5
facebook proxy,5
facebook hack,5
faceboo,5
harvard facebook,5
facebook layouts,5
facebook tracker,5
facebok,5
facbook,5
highschool facebook,5
www.facebook.com,5
unblock facebook,5






